7c671b,151.0031,-33.9382,167.64,45.92,UNH     ,189.67
7c443f,151.3282,-33.7901,60.96,48.88,NRL     ,1.21
7c7a4c,151.1783,-33.955,-99.06,72.99,VOZ841  ,346.55
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6d9e,151.1845,-33.9794,-99.06,75.38,QFA861  ,347.39
7c770d,151.2245,-33.8579,236.22,42.29,XSV     ,99.81
7c0373,151.0273,-33.8014,518.16,71.54,AYT     ,40.33
7c671b,151.0021,-33.9404,182.88,47.62,UNH     ,206.29
7c443f,151.3283,-33.7883,60.96,49.43,NRL     ,2.39
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6d9e,151.1845,-33.9794,-99.06,75.38,QFA861  ,347.39
7c770d,151.227,-33.8578,236.22,46.53,XSV     ,84.29
7c0373,151.0298,-33.7991,525.78,71.77,AYT     ,41.8
7c671b,151.0004,-33.9422,205.74,49.48,UNH     ,224.16
7c443f,151.3285,-33.7847,60.96,48.88,NRL     ,1.21
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6d9e,151.1845,-33.9794,-99.06,75.38,QFA861  ,347.39
7c6db0,151.2077,-34.0685,533.4,86.22,QFA430  ,346.54
7c770d,151.2318,-33.8579,251.46,49.33,XSV     ,97.79
7c0373,151.0348,-33.7946,541.02,72.43,AYT     ,42.99
7c671b,150.9956,-33.9443,220.98,53.71,UNH     ,253.3
7c443f,151.3287,-33.7805,60.96,47.91,NRL     ,3.08
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6d9e,151.1845,-33.9794,-99.06,75.38,QFA861  ,347.39
7c6db0,151.2066,-34.0643,510.54,84.87,QFA430  ,347.4
7c770d,151.2348,-33.8583,243.84,53.11,XSV     ,98.91
7c0373,151.0378,-33.7919,548.64,72.79,AYT     ,43.28
7c671b,150.9931,-33.9444,228.6,51.47,UNH     ,271.72
7c443f,151.3288,-33.7782,60.96,47.47,NRL     ,4.35
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1329,-33.692,2468.88,146.27,VOZ942  ,162.39
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6d9e,151.1845,-33.9794,-99.06,75.38,QFA861  ,347.39
7c6db0,151.2056,-34.0606,487.68,83.14,QFA430  ,347.86
